ECM-912-56058, ,ECM-912-56091, ,ECM-912-56129, 
0.176114,0.175037014,0.179198506306984,0.201348588922539,0.180634542818612,0.199472094605826
0.176120112,0.174448081,0.182813211155669,0.203377071752693,0.180586038212174,0.200866408450429
0.177173364,0.175086362,0.189565893473633,0.206148712687141,0.182451606372902,0.202425779949251
0.180188069,0.17672424,0.196402229402341,0.211179784917902,0.187319152079861,0.205452812913824
0.183114387,0.178037246,0.198140467053524,0.218531390186059,0.193126107308059,0.209786503255801
0.183610512,0.179318592,0.192445135316218,0.226252596504677,0.198525311095228,0.216176692993232
0.18236001,0.178859277,0.184072439767806,0.229191437151239,0.206337831316889,0.226455930998968
0.184177849,0.175611093,0.179893480432586,0.22361264564663,0.218570054790771,0.240687684001477
0.191692073,0.17449681,0.180662999212409,0.216364004034068,0.226212718639414,0.256053986784585
0.201100465,0.177748497,0.183976050991634,0.220177049408616,0.2167074273746,0.266173204200918
0.204501295,0.178808594,0.187508877471457,0.232913015294184,0.197624817760281,0.26115190149233
0.189676374,0.168694944,0.190228139826238,0.240475605616904,0.189471365377648,0.244134187093194
0.159448727,0.150226526,0.189143233218878,0.235377752550183,0.191741720705584,0.236963205660975
0.13922009,0.142868024,0.177907446572772,0.217041959992186,0.190769182198461,0.24515812120783
0.134432804,0.15544269,0.157278489497344,0.18030204640566,0.187633413228284,0.258446830961639
0.137324054,0.154369769,0.128361335965011,0.126471771237031,0.176431513092734,0.270034452008297
0.151888748,0.149108822,0.111811431760951,0.0769192850404506,0.151241929123995,0.287645704295704
0.166865484,0.160102473,0.113065053903095,0.0749708979038631,0.127305280556937,0.305223871421107
0.176840792,0.187927239,0.111660299508798,0.102870368269829,0.114547974618573,0.310018149028093
0.180726632,0.193620993,0.119914581018744,0.125785242226323,0.120050409372292,0.296600053988615
0.17464909,0.178997747,0.131174947490985,0.141984247536249,0.137703169321974,0.261665049608095
0.173633346,0.178422709,0.131666232522202,0.158882943626499,0.14982793168232,0.216388664568235
0.173873603,0.184130793,0.129848655795039,0.184715894790044,0.157723214563422,0.171642837355203
0.17636379,0.184811842,0.123876086678843,0.227285681693348,0.1684765647944,0.149600454448889
0.171760721,0.184789132,0.189008294382956,0.293679369558259,0.181298535573426,0.155654984944693
0.168103411,0.183805412,0.347904023361894,0.379602592430863,0.199831133733142,0.187627801997424
0.165025895,0.140346113,0.380388347759302,0.383898203308929,0.232724489703042,0.247974052817168
0.164082101,0.070989473,0.250115961958966,0.272675295972199,0.299412859086845,0.357353825757442
0.170781761,0.255897825,0.184730111914179,0.208828983065703,0.38773208681528,0.55916371253604
0.150916311,0.227185661,0.171323184656767,0.171974625789704,0.39579226446714,0.852892417801691
