ECM-912-56058, ,ECM-912-56091, ,ECM-912-56129, 
105.7830688,106.0337203,106.312865844769,104.966128183752,106.0107743,104.9829484
105.6514931,105.8551035,106.194095344317,104.80699697,105.8677168,104.856562
105.6247636,105.7531236,106.157609847271,104.742808182788,105.8446689,104.8408003
105.6757405,105.7179163,106.204287528107,104.744781482254,105.9036408,104.9326052
105.7500413,105.7170331,106.301033357124,104.762967932116,105.9516121,105.0836611
105.7992846,105.7488115,106.370570414545,104.783393739564,105.9099415,105.1961451
105.802892,105.7748551,106.3501429179,104.775371073703,105.8077892,105.2628601
105.8124215,105.8361511,106.200051377102,104.78410679417,105.6394511,105.3507576
105.8762086,105.9754077,106.017516077196,104.914264020083,105.4712376,105.4980667
106.0155217,106.219712,105.946385832043,105.209212770478,105.3964416,105.6489591
106.2049194,106.5311255,106.104861529035,105.611546482084,105.5530338,105.6500448
106.4004703,106.8277901,106.487889834977,106.00317887242,105.9687695,105.5648386
106.5797763,107.0570713,106.984268039486,106.312100779156,106.5095756,105.5866168
106.7277855,107.2072953,107.466900002963,106.548557674682,107.0098368,105.8459723
106.8398884,107.2917404,107.85341077827,106.737106521658,107.3989965,106.2937574
106.9203346,107.3335707,108.115883118781,106.895761221164,107.6767076,106.7626097
106.9733463,107.3478357,108.263609825699,107.029718470552,107.8682582,107.1783649
106.9968464,107.3375318,108.314509771551,107.130954445319,107.9918902,107.5228146
106.9789106,107.2954365,108.275021783489,107.183045794171,108.0449138,107.7781706
106.9075943,107.2078119,108.141564387512,107.164995076022,108.0115326,107.9184781
106.7992362,107.0652122,107.932193816749,107.0632694566,107.8921539,107.9267542
106.6668717,106.8644073,107.674903653732,106.874693527578,107.7056181,107.7987385
106.5088183,106.6186559,107.385965246358,106.61708469587,107.4743964,107.5596226
106.3315857,106.3636301,107.088325113131,106.332189689212,107.2199555,107.2630864
106.1548771,106.1482236,106.809232075482,106.080432213934,106.9715368,106.9758447
106.0456057,106.0137711,106.614290523917,105.906885333283,106.7840478,106.7605009
106.0611984,105.9825984,106.566482426977,105.835146060562,106.7232014,106.6554261
106.200384,106.0289695,106.66703142891,105.833936823905,106.8055613,106.6464337
106.3602068,106.051473,106.814953232113,105.796737501362,106.9466761,106.6283867
106.3374629,105.8655792,106.802174805164,105.541873020902,106.9499928,106.4031889
105.9364171,105.2943504,106.422075093342,104.901752422848,106.6073522,105.7847978
105.0678081,104.2620831,105.575438203152,103.809400272518,105.8084707,104.6959703
103.7875742,102.8345427,104.30930747534,102.343366991862,104.5861216,103.2062246
102.3501615,101.2567445,102.870603660827,100.759835011864,103.1663266,101.577242
101.2273813,99.98519125,101.729172702733,99.5161249467179,102.0025582,100.2843044
101.0759585,99.67050489,101.542032888515,99.2650284121984,101.7451035,99.99161802
102.5637328,101.0965951,102.986511552394,100.783149753101,103.0919215,101.4768383
104.6905698,103.5225213,105.124295979849,103.206309753347,105.2558068,103.8971339
105.0968517,104.1244547,105.562615893944,103.748298707308,105.7776459,104.456998
104.298254,103.4401653,104.784828936754,103.032425707265,105.0532481,103.7513401
101.6150371,100.9212807,102.151328490441,100.416646397853,102.5436295,101.1709005
97.2925926,96.43250626,97.8241131810111,95.9522265693851,98.17235242,96.71513512
94.57300617,94.06526914,95.0306723084152,93.8267272257198,95.10994251,94.54385326
93.44216063,93.70385791,93.8556327872484,93.5920627563878,93.8520108,94.35979355
92.87449343,93.65842914,93.2579306853117,93.5953013761955,93.3107041,94.39621647
92.37357338,93.56300833,92.7463397131628,93.4589635144555,93.02623307,94.37981011
